Global Land and Ocean Temperature Anomalies, December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999.0000
Year,Value
1880,-0.08
1881,-0.05
1882,-0.17
1883,-0.08
1884,-0.15
1885,0.05
1886,-0.17
1887,-0.20
1888,0.04
1889,-0.18
1890,-0.23
1891,-0.04
1892,-0.47
1893,-0.24
1894,-0.23
1895,-0.06
1896,0.06
1897,-0.29
1898,-0.01
1899,-0.15
1900,0.04
1901,-0.23
1902,-0.36
1903,-0.38
1904,-0.24
1905,-0.13
1906,-0.16
1907,-0.39
1908,-0.38
1909,-0.41
1910,-0.57
1911,-0.24
1912,-0.35
1913,-0.03
1914,-0.09
1915,-0.04
1916,-0.57
1917,-0.53
1918,-0.31
1919,-0.29
1920,-0.38
1921,-0.07
1922,-0.15
1923,0.01
1924,-0.39
1925,0.15
1926,-0.20
1927,-0.30
1928,-0.15
1929,-0.50
1930,0.01
1931,-0.10
1932,-0.19
1933,-0.41
1934,-0.02
1935,-0.17
1936,-0.02
1937,-0.09
1938,-0.25
1939,0.41
1940,0.27
1941,0.21
1942,0.15
1943,0.35
1944,0.09
1945,-0.05
1946,-0.28
1947,-0.15
1948,-0.12
1949,-0.19
1950,-0.18
1951,0.21
1952,-0.01
1953,0.05
1954,-0.19
1955,-0.28
1956,-0.16
1957,0.22
1958,0.14
1959,-0.04
1960,0.22
1961,-0.02
1962,0.08
1963,0.08
1964,-0.27
1965,-0.02
1966,-0.13
1967,-0.05
1968,-0.05
1969,0.24
1970,-0.10
1971,-0.02
1972,0.25
1973,0.02
1974,-0.10
1975,-0.09
1976,0.09
1977,0.11
1978,0.15
1979,0.50
1980,0.27
1981,0.42
1982,0.43
1983,0.27
1984,-0.09
1985,0.20
1986,0.22
1987,0.53
1988,0.36
1989,0.40
1990,0.44
1991,0.30
1992,0.28
1993,0.30
1994,0.40
1995,0.35
1996,0.39
1997,0.63
1998,0.58
1999,0.58
2000,0.32
2001,0.51
2002,0.43
2003,0.73
2004,0.51
2005,0.62
2006,0.76
2007,0.49
2008,0.56
2009,0.62
2010,0.49
2011,0.55
2012,0.46
2013,0.70
2014,0.83
2015,1.13
2016,0.81
2017,0.80
